time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
5.8700000000000045;1;0.71178;0.331392;0.007564;0.710151310575965;0.4820350513243341;-1.2640898797534189e-05
16.937999999999988;2;0.831084;0.731702;0.008041;0.8156526263853908;0.7477804859679145;-8.066348159523062e-06
36.21799999999999;3;1.5685;3.34276;0.009306;1.5983497366314308;3.2958455062859526;-1.1464050513387836e-05
82.554;4;1.17271;1.8399;0.014127;1.0512122531452275;1.7720016838914463;-1.1463818697241696e-05
89.892;5;1.0256;2.51744;0.014365;1.0695383743983318;2.511068357015213;-8.46689021386307e-06
101.221;6;1.3416;3.9993;0.013775;1.261839732616196;3.8949186143377843;-7.0740471194256915e-06
102.30799999999999;7;0.885246;4.26013;0.006853;0.7906850218425142;4.146045540336492;-8.941143782411481e-06
115.559;8;0.367379;2.3224;0.005395;0.4852466484316422;2.379175577394781;-9.356506526531083e-06
126.18;9;1.85625;4.68197;0.012018;1.9404313447110304;4.571296248720255;-1.497664759680939e-05
153.341;10;0.408026;3.03837;0.012369;0.4758456969871879;2.9045902106798587;-1.1539363810261077e-05
175.06599999999997;11;0.796352;4.72935;0.009159;0.8731545950137083;4.621959847952379;-6.319767871836718e-06
250.014;12;4.52805;4.02913;0.00662;4.531540789150836;3.917781289521035;-8.481502419711157e-06
263.702;13;4.00843;2.62859;0.011347;4.079922051603843;2.5119410479776514;-1.1898662777398705e-05
307.279;14;3.71702;3.77949;0.012349;3.5830940258749817;3.713480290697369;-5.248128328284862e-06
337.365;15;4.89787;3.70156;0.014353;4.821020195733911;3.5918118454084333;-9.805046976934378e-06
446.08500000000004;16;3.26649;2.64043;0.007124;3.2145154112397942;2.742001755609023;-7.95367195501398e-06
449.321;17;4.2447;2.27176;0.005414;4.151886474460228;2.378697778380899;-6.344024416526234e-06
461.374;18;2.15345;1.5613;0.008994;2.1838667145395507;1.426454903730344;-7.725078394874019e-06
473.13700000000006;19;3.97368;1.73;0.013775;3.8365251007141556;1.684537108428151;-6.706077942255501e-06
473.951;20;4.24303;1.6694;0.012344;4.193946237490681;1.7561031817719694;-1.4574862283921186e-05
634.977;21;4.97494;4.11685;0.014567;5.005342430402258;4.235936177910275;-8.688136061290458e-06
714.114;22;2.61776;0.772726;0.014324;2.4946990758025063;0.787955665119574;-1.8960023706309642e-05
931.0649999999999;23;5.36337;1.98755;0.013657;5.243206605606804;2.0623721760281297;-5.559457872495593e-06
1906.1930000000002;24;2.12898;2.46928;0.005193;2.0173042839862907;2.397723645763013;-1.1483669486781617e-05
