mine_x;mine_y
1.78594;3.00234
1.9109;3.93651
5.11954;3.2617
5.36829;5.88214
3.26653;5.3598
0.32251;4.31572
2.56058;3.46635
0.109918;1.71389
1.98045;1.6444
2.43309;2.57494
6.39973;3.14411
3.28202;5.89625
1.17958;4.61949
2.34455;0.154118
2.14436;4.36284
1.04162;3.4991
5.18985;0.023592
2.95502;4.49347
5.24809;3.30278
3.24731;4.6838
5.10899;5.81511
6.32278;3.75483
4.98095;5.58188
3.08768;5.40343
2.08339;3.07225
3.08625;3.80766
6.94271;1.55438
1.0637;0.427062
3.34794;4.97815
5.695;0.472599
3.13669;0.214902
2.12044;0.888885
3.51679;2.81021
1.49574;3.69825
3.90086;0.989261
6.4159;4.23344
2.22394;1.02721
5.03287;4.16788
2.97175;2.9176
4.85566;3.41822
3.76794;3.94752
6.05362;3.07597
-0.974751;0.438346
-1.79539;1.32993
-0.498846;0.559704
-0.383929;1.05596
-1.2099;2.35862
