time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
20.02;1;4.78852;3.11523;0.006218;4.917916983381465;3.0449435081104848;-8.783899874107576e-06
43.79600000000001;2;4.30681;2.85746;0.013929;4.3860254180373754;2.827423669355565;-1.0814791786533523e-05
80.336;3;2.44709;1.97205;0.005858;2.5671080442422687;1.9938506778551255;-8.66353904833625e-06
94.054;4;1.18013;2.36861;0.012932;1.0665222919481205;2.4372707372104;-1.1018405510751506e-05
96.626;5;1.79663;1.32505;0.008453;1.8792766902594438;1.440572370647033;-1.2186610833051642e-05
121.056;6;1.86893;2.1289;0.009106;1.8034200845421797;2.2242970553862746;-5.323741637610485e-06
135.164;7;0.199685;2.706;0.010864;0.24495263524389224;2.8458298167843465;-1.172014252495343e-05
136.82299999999998;8;0.489743;2.02637;0.013218;0.5548229578922762;2.124341577378814;-5.744951379088592e-06
138.73899999999998;9;1.0715;1.17448;0.005893;0.9512701514783511;1.2517672309677421;-1.0644797503740755e-05
146.158;10;1.15415;0.19328;0.00956;1.2532407204321252;0.24499018018970548;-7.081298972432676e-06
147.99699999999999;11;0.383823;0.660823;0.012217;0.48836599632292815;0.7501816731743376;-1.0605257774923271e-05
207.679;12;0.432735;1.0962;0.014029;0.4466015305311024;0.9925714354677898;-1.2806932198416304e-05
281.137;13;1.25589;3.41537;0.007743;1.2930872692727693;3.5246226498956137;-1.0739211091088247e-05
288.444;14;0.019163;3.01925;0.011994;0.15139740390316583;2.9466493511112644;-6.3012396438917595e-06
301.074;15;0.818873;4.28324;0.008937;0.9444932936668402;4.343908325318113;-8.127683993355145e-06
301.779;16;0.628438;4.05863;0.01455;0.6231026713104918;4.199189149713712;-8.388059214149007e-06
353.60499999999996;17;3.94132;2.44671;0.009722;3.9952102673445538;2.3318987638711652;-1.3020997614972274e-05
355.188;18;3.12573;2.4425;0.007929;3.2285729094594173;2.526978971503874;-7.287162692843491e-06
394.062;19;0.257402;1.59686;0.006558;0.3081517250797986;1.7194679308660767;-8.18976891694273e-06
413.354;20;0.845487;4.77895;0.014077;0.7061050602035224;4.830854544108125;-1.1180949712506077e-05
653.397;21;3.00152;4.65146;0.011728;2.991074425218859;4.515983871865411;-1.1397190583524452e-05
695.187;22;4.17635;3.88016;0.006547;4.303426944314221;3.9028304752818377;-1.1647115131852015e-05
911.1790000000001;23;0.082929;0.749988;0.012886;0.17649722997170197;0.6368221204209612;-9.070161818926226e-06
1003.615;24;3.92471;0.748986;0.008857;3.8609866221835336;0.6224463518795844;-6.991104737355536e-06
1042.27;25;5.11157;0.902176;0.01461;5.0526347531999685;0.7823291986531427;-8.956083624906547e-06
1054.697;26;4.56024;0.998622;0.012547;4.689453120182611;1.0602907766613876;-8.406219450515784e-06
1110.118;27;4.40997;1.97062;0.009092;4.436353190433005;1.8333659251244119;-1.0173355726329075e-05
1117.028;28;5.49836;3.51863;0.011825;5.57151470099624;3.392997508473338;-6.906984621499884e-06
