time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
0.012000000000000455;1;0.477369;0.491126;0.014937;0.5061063198765728;0.505514072940566;-1.2032733888979463e-05
19.357999999999997;2;1.6573;0.925144;0.012421;1.7122485829644953;0.8702024428024476;-1.2113673646760997e-05
42.531;3;3.28565;2.13385;0.01269;3.143213283626593;2.12033904294385;-6.018316959295611e-06
96.43700000000001;4;2.91222;0.967857;0.01115;2.872727942673614;1.0645394659295988;-8.810561444499987e-06
113.28900000000002;5;2.81684;4.7399;0.011091;2.895925188293183;4.618711629947248;-9.257952295827626e-06
144.165;6;5.53179;3.02699;0.012407;5.446689340852197;2.922676910646778;-6.8142047493398306e-06
145.547;7;5.34626;3.29208;0.006465;5.448651676984923;3.186446363924525;-6.551150836132252e-06
198.964;8;4.09396;3.8733;0.014962;4.035040904000183;3.777741796427542;-1.0031152485323602e-05
203.51000000000002;9;5.79019;4.43414;0.006695;5.684629487482307;4.341025744036952;-1.1221663603903226e-05
239.57399999999998;10;0.995335;1.46779;0.013694;0.9344800513120134;1.3765258235891615;-1.2837565674671952e-05
249.13500000000002;11;0.897627;2.27643;0.013601;0.7798813817293072;2.3366896726636996;-1.0101899286272392e-05
279.09099999999995;12;0.40073;1.38758;0.008957;0.5247187654592526;1.3275082540791667;-7.466978538647057e-06
280.08799999999997;13;0.604861;1.57576;0.008412;0.490546400283208;1.5245485466647168;-1.146908919400294e-05
287.47499999999997;14;1.31868;1.20657;0.011102;1.2022431109520384;1.300697479905078;-1.0747824427025099e-05
304.179;15;4.73103;2.85774;0.010881;4.633108894005641;2.9095373345955484;-8.375605808061404e-06
522.145;16;2.27048;0.960302;0.014622;2.3545190176497575;1.056895379010561;-7.938413705357167e-06
574.315;17;4.80673;1.89695;0.013008;4.779072889468452;1.7992870821644553;-7.251317682224062e-06
659.985;18;0.981929;4.19714;0.005336;0.8872043687088542;4.145895497671804;-8.70620681668599e-06
871.1370000000001;19;3.18863;0.497275;0.006686;3.3274574191640447;0.4978307712951587;-9.088996820269535e-06
1056.628;20;0.510283;4.09578;0.005016;0.5595873992295265;3.9876883231712306;-8.955704373592166e-06
1090.686;21;1.53981;2.1042;0.007879;1.6753971607736053;2.058015333842109;-1.016004445356794e-05
1164.9460000000001;22;0.204177;3.46449;0.006704;0.32852708271084524;3.4114581058399787;-9.837354625057138e-06
1465.431;23;2.86392;4.93521;0.005943;2.9827570726370873;4.905155377435445;-9.188690556972967e-06
