time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
5.244999999999999;1;3.05114;0.498732;0.007716;2.9967470108521663;0.4533142036417479;-8.826512806491688e-06
23.472;2;3.76071;0.74316;0.007696;3.800605621269509;0.8604964390164069;-9.44523722478871e-06
28.375;3;1.3359;1.45167;0.010686;1.405037021585622;1.3888364568161002;-9.454223054500971e-06
34.855000000000004;4;-1.82288;2.09617;0.009489;-1.737358678022882;2.1559304531116266;-6.003682275129707e-06
41.69799999999999;5;-1.48873;1.37664;0.006723;-1.596166872206771;1.3665201573953816;-8.874854162677082e-06
99.693;6;0.793609;2.99852;0.01195;0.8546661596888547;2.9085677154019707;-1.199549276825404e-05
106.46799999999999;7;2.86519;4.1986;0.009298;2.7658228915412666;4.153381099752323;-7.578608908983403e-06
124.735;8;4.76696;0.224597;0.011868;4.872812449349645;0.27889803678143193;-1.0109203475130307e-05
143.03900000000002;9;1.00157;1.90611;0.007355;1.0281326875169043;1.9900103381411616;-1.3470920554606303e-05
160.66400000000002;10;0.001987;0.313404;0.01265;-0.1271301270194135;0.3106250829346618;-9.428148581635404e-06
174.406;11;1.32354;1.77775;0.010076;1.2184860376767817;1.7670410516415505;-6.987520249211732e-06
217.64000000000001;12;3.45887;2.62334;0.006619;3.5002932559267608;2.7264752476572616;-7.719793242617207e-06
220.79600000000002;13;2.1437;1.89635;0.012958;2.089278044604526;2.0202417003147093;-1.3135155284196148e-05
240.978;14;-1.06603;2.20069;0.012072;-1.1895703485981297;2.2536912277821814;-8.117555678407995e-06
278.456;15;2.03416;3.9903;0.01162;1.9140273468628577;3.93286369346283;-1.1783310007684039e-05
287.615;16;0.825342;2.30483;0.005495;0.9631841628157787;2.256796540855285;-8.09387588160057e-06
387.795;17;3.30999;4.10838;0.00738;3.400107091592998;4.103397077093822;-7.211730023739399e-06
426.307;18;0.292943;3.18058;0.007504;0.3510907743876316;3.0487323423239903;-1.2528693706447686e-05
433.59000000000003;19;0.475591;3.54704;0.012143;0.40442083775515497;3.663894520422212;-1.0465865733857299e-05
434.625;20;0.668382;3.10555;0.009483;0.6165077308422767;3.1912682061339055;-1.1211872831654729e-05
477.41700000000003;21;3.33256;3.24449;0.013863;3.4049886292345306;3.130282122336749;-1.0795332398696317e-05
506.26800000000003;22;3.80838;2.13857;0.008522;3.7011537456662107;2.2006690686600177;-1.0552046117513064e-05
506.76;23;3.70331;1.96984;0.01428;3.8275951159066683;1.9896712525547453;-7.111999501027699e-06
526.539;24;1.28003;5.1861;0.006315;1.4052925431506915;5.201924919984274;-8.486400376792741e-06
538.3879999999999;25;1.3013;4.26538;0.012244;1.3978223370979965;4.269005945292982;-1.0371827906096448e-05
568.227;26;2.49291;3.25609;0.008799;2.5899079130660962;3.1802701872886083;-1.0052519625710493e-05
569.501;27;2.07568;3.55622;0.009495;2.221914806703807;3.545660300701938;-2.0795616057372318e-05
584.189;28;4.49777;0.244922;0.011739;4.360304706127434;0.24253976422436652;-7.946973064935914e-06
595.366;29;4.77618;4.40809;0.006061;4.657932210305649;4.3496147188701775;-7.504322526830087e-06
631.9399999999999;30;3.95984;2.15329;0.011943;4.049001095992666;2.2401275762122452;-1.1290338609304396e-05
690.3449999999999;31;1.69816;5.48257;0.011379;1.7474580325195197;5.611117872748216;-1.0188962494266096e-05
691.572;32;1.11058;5.30278;0.009628;1.1717934239237606;5.397536022567119;-7.40872126970063e-06
697.9449999999999;33;0.332666;5.51353;0.012665;0.4572683992615039;5.439047556024801;-5.706906274795948e-06
744.7629999999999;34;2.28254;0.156025;0.007881;2.185599505625194;0.25570062845639785;-1.0510843633061012e-05
885.694;35;6.8315;0.928629;0.008183;6.712569920504893;0.9189064684631093;-7.913741255319295e-06
930.433;36;5.4013;4.08012;0.013161;5.382813010921358;4.222002227453373;-1.2011038088493436e-05
931.3729999999999;37;5.17253;3.75549;0.010108;5.121754587461704;3.872276318039889;-1.3256732197399618e-05
954.4409999999999;38;5.65399;5.31872;0.007874;5.574975806545361;5.199294951521296;-8.535400726965986e-06
1002.8919999999999;39;2.59701;5.70668;0.014588;2.634449785325361;5.57513151687637;-1.2102241746528991e-05
1012.1629999999999;40;0.626463;4.71712;0.008166;0.4907588234011557;4.695913202006467;-1.195837046687881e-05
1024.165;41;-1.21072;1.39649;0.006791;-1.154912404337882;1.5290645891538825;-1.4123835509621124e-05
1328.125;42;1.06861;4.95873;0.009163;1.0113864119073335;4.827625923405027;-1.1161457861976615e-05
1902.902;43;2.15134;2.2583;0.013232;2.2520798573503273;2.361605987593232;-8.144893185148966e-06
2270.797;44;6.85243;3.01943;0.007044;6.763101321392937;2.897618956557204;-1.6680339991505255e-05
