time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
204.95800000000003;1;1.07198;2.04831;0.014083;1.020664803652172;1.935591452873935;-1.2173908645586595e-05
228.68900000000002;2;3.39671;3.22173;0.007282;3.273732525095828;3.2365061772362855;-4.872567584000148e-06
241.801;3;3.69289;4.1681;0.005479;3.6965938401926923;4.266984180569273;-1.2297857776920329e-05
260.13100000000003;4;-1.38143;1.87625;0.01335;-1.413773480332786;2.016825624759661;-7.953199037066122e-06
268.56;5;0.701437;2.40037;0.014455;0.731021461339402;2.2632083941492267;-8.617944035529262e-06
276.88800000000003;6;3.27272;4.70471;0.011753;3.3661060120916786;4.587455434752252;-1.0772999287485263e-05
295.685;7;3.75109;3.31199;0.012345;3.7588802731744657;3.452887900228895;-7.78204105984781e-06
296.386;8;4.17535;3.24121;0.010321;4.075400800625571;3.311686217058383;-1.2383344581996109e-05
328.71000000000004;9;3.88771;3.6834;0.010549;3.783870008448213;3.716679150303996;-1.2260223738218973e-05
330.779;10;4.50117;2.85866;0.010528;4.38625176239025;2.8845058425774024;-9.345559563063432e-06
363.55400000000003;11;1.25947;1.34113;0.005817;1.2392031306860245;1.479832951714575;-8.174722417937652e-06
367.38800000000003;12;-0.399444;0.478185;0.008299;-0.4453212994927774;0.6194430849706245;-1.1100335609793427e-05
384.485;13;3.29651;2.37427;0.013587;3.205304784473778;2.2955978048677776;-5.950658771826378e-06
425.76300000000003;14;5.481;1.03212;0.005145;5.367800493178763;1.1168576448748104;-1.15787942530296e-05
436.43199999999996;15;6.16733;2.39988;0.006426;6.043694156494777;2.3551101868822255;-8.159830240425658e-06
475.891;16;5.60248;2.69933;0.007896;5.690757061928492;2.6030312839389027;-8.280753599862467e-06
494.482;17;4.89272;4.64306;0.012404;4.979758629475652;4.760188442674065;-1.0988645008969816e-05
572.857;18;3.49026;3.31293;0.012224;3.5677920682141275;3.4194103814839734;-9.913677862641301e-06
630.962;19;1.66947;3.14242;0.009099;1.5457713594583218;3.083057929383584;-1.1474183314749697e-05
724.983;20;5.02154;5.60044;0.007551;5.154447638050851;5.655316360744579;-7.636842183095932e-06
740.387;21;-0.154583;1.31368;0.008838;-0.006739293905769409;1.3467767180333605;-4.774719036492597e-06
819.222;22;4.28482;5.11141;0.012054;4.297776100331561;4.969735964228457;-9.767590087167433e-06
902.866;23;3.79197;2.06723;0.013118;3.6578275964391445;2.0271526015108967;-1.0241023225939644e-05
910.447;24;6.87501;3.43322;0.008272;6.735196993891094;3.391763824543255;-7.280785135312801e-06
984.8199999999999;25;0.749401;4.42347;0.010982;0.8225045258297119;4.542443645157372;-6.725683099503138e-06
991.546;26;0.971079;1.0855;0.006659;1.0021218274767643;1.2152710344380087;-2.1096240251892995e-05
1008.471;27;3.74067;2.11887;0.005646;3.7120455960415693;1.96993489131672;-1.1259371591243461e-05
1264.346;28;0.519085;4.32083;0.012535;0.4471515787401656;4.196236615653894;-1.1007723950361842e-05
1294.993;29;3.37338;0.83273;0.005127;3.3944464656988207;0.6974475628101842;-1.4525412955469774e-05
1327.651;30;2.08345;4.06127;0.010044;1.9936059020254886;4.177358866736496;-1.2434870860181246e-05
1337.3029999999999;31;6.31814;4.44691;0.005978;6.190287736770767;4.5219752690307065;-8.595917794791685e-06
1353.058;32;1.73566;3.96393;0.006683;1.7338885985571897;4.111845832156882;-7.16151265793552e-06
1353.396;33;1.61032;3.95954;0.009908;1.5674727710631144;4.075615313365888;-8.601309070564722e-06
1483.895;34;5.17177;0.672074;0.010729;5.293033338756021;0.7616187616364243;-7.207463055502322e-06
1715.45;35;-1.18702;0.736611;0.00527;-1.1120924458318922;0.6114682638556086;-6.923092467869124e-06
2046.3619999999999;36;2.01544;3.98073;0.009513;1.9520700306867205;4.1094767285748;-1.0189129683500775e-05
2056.8970000000004;37;6.51267;1.49326;0.006246;6.365700030623827;1.484301895018563;-1.0052414199820253e-05
2065.2270000000003;38;6.65247;1.56252;0.009345;6.778880308850738;1.4792408586945625;-7.309039649756183e-06
2201.8790000000004;39;0.173034;3.82718;0.010242;0.3225028336364713;3.806862596411778;-8.33705255474243e-06
2262.6690000000003;40;0.59574;4.29796;0.012478;0.49170282804141674;4.193198151180017;-7.916672756944076e-06
2360.855;41;0.043216;0.481519;0.005194;-0.04779867447879914;0.36217262884749685;-9.858590624172575e-06
2618.146;42;0.51354;5.885;0.007303;0.6176308765910781;5.774635280841997;-1.123648581771719e-05
2676.456;43;-1.93173;0.693476;0.012339;-1.7804127378700312;0.6888058068953361;-1.0216155014747957e-05
